"","Temperatura","Velocidad.de.agitación","Tiempo.de.extracción","sal","Endosulfan","Carbaril.","Monocrotofos","Carbofuran","Lindano","Aldrin","Metil.paration.","Dieldrin","DDD","DDT","Endrin"
"1",20,500,5,5,0.0345,0.0077,0.0862,0.0393,0.0772,0.2314,0.0172,0.0261,0.0222,0.0067,0.0043
"2",20,500,5,5,0.008,0.0036,0.0109,0,0.0105,0.03,0.0328,0.0083,0.0087,0.0025,0.0024
"3",20,500,5,5,0.008,0.0036,0.0109,0,0.0105,0.03,0.0328,0.0083,0.0087,0.0025,0.0024
"4",20,1000,5,5,0.0191,0,0.03,0.0195,0.0198,0.0581,0.0123,0.0142,0.0307,0.0117,0
"5",20,1000,5,5,0.0032,0.0063,0.02,0.0042,0.0083,0.0078,0.0127,0.0078,0.0022,0.0143,0
"6",20,1000,5,5,0.0246,0.0063,0.02,0.0042,0.0083,0.0649,0.0127,0.0134,0.0287,0.0143,0
"7",20,500,30,5,0.0255,0.0201,0.0649,0.0657,0.2151,0.0985,0.0686,0.0249,0.0282,0.0085,0.014
"8",20,500,30,5,0.204,0.0124,0.2049,0.0868,0.0875,0.2637,0.176,0.0675,0.2512,0.1742,0.0189
"9",20,500,30,5,0.0773,0.0076,0.174,0.12,0.1453,0.1507,0.0595,0.084,0.0627,0.0281,0.0289
"10",20,1000,30,5,0.1445,0.0047,0.175,0.1673,0.4693,0.3357,0.1867,0.0736,0.2003,0.112,0.0265
"11",20,1000,30,5,0.1735,0.008,0.0643,0.0353,0.0279,0.101,0.0779,0.0249,0.029,0.028,0.0076
"12",20,1000,30,5,0.2129,0.0161,0.2643,0.1363,0.2987,0.3257,0.1592,0.1069,0.197,0.1914,0.0243
"13",20,500,5,20,0.0604,0.0523,0.0726,0.2514,0.0258,0.6778,0.1515,0.0284,0.0915,0.0361,0.0089
"14",20,500,5,20,0.0056,0.0018,0.0059,0,0.0107,0.0405,0.027,0.0015,0.0111,0.0226,0.0036
"15",20,500,5,20,0.0287,0.139,0.017,0,0.0107,0.018,0.027,0.0227,0.0426,0.0226,0.0036
"16",20,1000,5,20,0.0342,0.0533,0.0628,0.0684,0.0203,0.2909,0.1112,0.0194,0.0541,0.0285,0.0019
"17",20,1000,5,20,0.1392,0.0348,0.1474,0.0443,0.0377,0.2926,0.1464,0.0837,0.2036,0.1369,0.0097
"18",20,1000,5,20,0.2522,0.0143,0.1384,0.1034,0.2176,0.2795,0.1694,0.1193,0.258,0.1806,0.0191
"19",20,500,30,20,0.0739,0.0385,0.2398,0.2646,0.4929,0.4276,0.2737,0.0411,0.0959,0.0374,0.0144
"20",20,500,30,20,0.5162,0.0122,0.4711,0.2587,0.3341,0.77,0.5527,0.2037,0.6889,0.4506,0.0467
"21",20,500,30,20,0.2173,0.046,0.2244,0.0959,0.1568,0.8124,0.0817,0.1144,0.225,0.116,0.0206
"22",20,1000,30,20,0.2231,0.1707,0.2883,0.1309,0.4236,0.9912,0.1692,0.1181,0.3604,0.1526,0.0287
"23",20,1000,30,20,0.0416,0.3039,0.1705,0.2465,0.0117,0.0614,0.0659,0.0442,0.0609,0.0257,0.0255
"24",20,1000,30,20,0.6304,0.0231,0.5058,0.2656,0.4034,0.7836,0.3174,0.243,0.8027,0.5392,0.0512
